fund_name,Aerospace & Defense,Agricultural Food & other Products,"Agricultural, Commercial & Construction Vehicles",Auto Components,Automobiles,Banks,Beverages,CARE A1+,CARE AAA,CRISIL A1+,CRISIL AAA,Capital Markets,Cement & Cement Products,Chemicals & Petrochemicals,Cigarettes & Tobacco Products,Commercial Services & Supplies,Construction,Consumable Fuels,Consumer Durables,Diversified,Diversified FMCG,Diversified Metals,Electrical Equipment,Entertainment,FINANCE,Ferrous Metals,Fertilizers & Agrochemicals,Finance,Financial Technology (Fintech),Food Products,Gas,Healthcare Equipment & Supplies,Healthcare Services,"Hotels, Resorts And Other Recreational Activities",Household Products,ICRA A1+,ICRA AA+,ICRA AAA,IND A1+,IT - Services,IT - Software,Industrial Manufacturing,Industrial Products,Insurance,Leisure Services,Metals & Minerals Trading,Minerals & Mining,Non - Ferrous Metals,OTHERS,Oil,Other Utilities,"Paper, Forest & Jute Products",Personal Products,Petroleum Products,Pharmaceuticals & Biotechnology,Power,Realty,Retailing,SOVEREIGN,Telecom - Equipment & Accessories,Telecom - Services,Textiles & Apparels,Transport Infrastructure,Transport Services
GROWW Gold ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GROWW NIFTY 1D Rate Liquid ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
GROWW NIFTY 200 ETF,1.507,0.789,0.248,1.209,6.291,23.182,0.603,0.0,0.0,0.0,0.0,1.07,2.016,0.713,0.083,0.0,2.777,0.538,2.558,0.0,3.706,0.48,1.81,0.0,0.0,1.858,0.56,5.961,0.599,0.93,0.483,0.0,1.262,0.0,0.0,0.0,0.0,0.0,0.0,0.07,8.235,0.219,1.146,1.63,0.788,0.396,0.16,0.914,0.0,0.702,0.0,0.0,0.638,6.61,3.915,3.403,1.093,3.317,0.0,0.0,3.712,0.151,0.818,0.851
Groww Aggressive Hybrid Fund,0.0,0.0,0.0,1.479,4.972,25.693,0.0,0.0,0.0,0.0,0.0,0.0,2.247,0.0,0.0,0.138,5.885,0.0,0.871,0.0,0.0,0.0,1.394,0.0,0.0,1.974,0.0,7.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231,0.0,0.0,0.0,3.522,0.0,1.712,3.983,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.0,0.0,0.997,4.398,2.887,0.0,4.956,19.254,0.0,4.534,0.0,0.0,0.0
Groww BSE Power ETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groww Banking & Financial Services Fund,0.0,0.0,0.0,0.0,0.0,44.632,0.0,0.0,0.0,0.0,0.0,9.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238,0.0,0.0,0.0,8.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groww Dynamic Bond Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.056,0.0,11.267,23.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.406,0.0,2.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.036,0.0,0.0,0.0,0.0,0.0
Groww ELSS Tax Saver Fund,1.114,0.968,0.0,9.64,3.83,20.04,0.0,0.0,0.0,0.0,0.0,2.076,3.741,0.373,2.127,0.0,2.337,0.931,1.511,0.0,2.444,0.0,1.654,0.387,0.0,0.29,1.228,7.655,1.704,0.0,0.0,0.0,3.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535,0.367,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.274,0.0,0.0,2.701,4.868,0.357,1.265,0.0,6.155,0.0,0.0,4.846,0.0,1.737,2.203
Groww Gilt Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Groww Large Cap Fund,1.269,0.0,0.0,0.0,7.814,32.191,0.0,0.0,0.0,0.0,0.0,0.0,3.079,0.0,0.0,0.883,7.235,0.0,1.159,0.0,1.504,0.0,1.17,0.0,0.0,2.297,0.0,10.164,0.0,0.0,0.0,0.0,1.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.979,0.0,2.01,3.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.434,2.967,2.097,0.0,6.871,0.0,0.0,4.943,0.0,0.0,0.0
